NumberWithDash,EPM_ProductionControlItemID,EPM_MainMark,EPM_InstanceNumber,Assembly_MainPieceProductionCode,Assembly_MainPartLengthFt,Assembly_WeightEachLbs,Assembly_SurfaceAreaEachSqFt,Assembly_MainPartShape,Assembly_MainPartDimension,Assembly_MainPartFinishDescr,Assembly_TotalQuantityInJob,Assembly_NumSmallParts,EPM_AdjustedStationName,TimeInSeconds_ThisWorkSegment,Assembly_EstTotalHours_ThisLaborGroup
23-011,575484,P1045,2,GUSSET PL,0.92,403.154,49.91,PL,3/4 x 4 15/16,E - Exterior Exposed,2,2,Weld,21,0.0
23-011,575517,P1068,1,CHK PLATE,6.33,448.877,55.59,CHKD_PLT,3/8 x 51 7/8    §,ES - Special Case/Exterior Exposed,1,2,Fab/Layout,289,0.0
23-011,575521,P1070,1,CHK PLATE,10.23,604.755,75.01,CHKD_PLT,3/8 x 42 1/2    §,ES - Special Case/Exterior Exposed,1,2,Weld,121,0.0
23-011,575550,P1081,1,CHK PLATE,6.33,207.505,25.95,CHKD_PLT,3/8 x 23 15/16    §,ES - Special Case/Exterior Exposed,1,2,Fab/Layout,239,0.0
23-011,575550,P1081,1,CHK PLATE,6.33,207.505,25.95,CHKD_PLT,3/8 x 23 15/16    §,ES - Special Case/Exterior Exposed,1,2,Weld,6,0.0
23-011,575560,P1085,1,CHK PLATE,6.33,448.877,55.59,CHKD_PLT,3/8 x 51 7/8    §,ES - Special Case/Exterior Exposed,1,2,Fab/Layout,362,0.0
23-011,575560,P1085,1,CHK PLATE,6.33,448.877,55.59,CHKD_PLT,3/8 x 51 7/8    §,ES - Special Case/Exterior Exposed,1,2,Weld,23,0.0
23-011,575562,P1086,1,CHK PLATE,6.33,207.505,25.95,CHKD_PLT,3/8 x 23 15/16    §,ES - Special Case/Exterior Exposed,1,2,Fab/Layout,151,0.0
23-011,575562,P1086,1,CHK PLATE,6.33,207.505,25.95,CHKD_PLT,3/8 x 23 15/16    §,ES - Special Case/Exterior Exposed,1,2,Weld,19,0.0
23-011,575576,P1095,1,BRACKET,1.67,317.432,39.34,PL,3/4 x 12 1/16    §,E - Exterior Exposed,2,4,Fab/Layout,88,0.0
23-011,575576,P1095,1,BRACKET,1.67,317.432,39.34,PL,3/4 x 12 1/16    §,E - Exterior Exposed,2,4,Weld,48,0.0
23-011,575576,P1095,2,BRACKET,1.67,317.432,39.34,PL,3/4 x 12 1/16    §,E - Exterior Exposed,2,4,Weld,7,0.0
23-011,575631,P1093,1,GUSSET PL,0.92,219.666,27.3,PL,3/4 x 5,E - Exterior Exposed,2,2,Weld,9,0.0
23-011,575631,P1093,2,GUSSET PL,0.92,219.666,27.3,PL,3/4 x 5,E - Exterior Exposed,2,2,Weld,7,0.0
23-011,576142,S1086,1,HSS STRUT,17.52,265.27,35.58,HSSR,6 5/8 x 0.188,E - Exterior Exposed,4,11,Fab/Layout,297,0.0
23-011,576142,S1086,1,HSS STRUT,17.52,265.27,35.58,HSSR,6 5/8 x 0.188,E - Exterior Exposed,4,11,Weld,16,0.0
23-011,576142,S1086,2,HSS STRUT,17.52,265.27,35.58,HSSR,6 5/8 x 0.188,E - Exterior Exposed,4,11,Fab/Layout,16,0.0
23-011,576142,S1086,2,HSS STRUT,17.52,265.27,35.58,HSSR,6 5/8 x 0.188,E - Exterior Exposed,4,11,Weld,17,0.0
23-011,576142,S1086,3,HSS STRUT,17.52,265.27,35.58,HSSR,6 5/8 x 0.188,E - Exterior Exposed,4,11,Weld,7,0.0
23-011,578522,VB1111,1,V-BRACE,9.46,369.979,58.83,L,3 1/2 x 3 x 1/4,E - Exterior Exposed,6,4,Fab/Layout,279,7.037592
23-011,578522,VB1111,2,V-BRACE,9.46,369.979,58.83,L,3 1/2 x 3 x 1/4,E - Exterior Exposed,6,4,Fab/Layout,506,3.518796
23-011,746666,C1100,3,COLUMN,35.31,1954.776,230.33,W,14 x 43,E - Exterior Exposed,4,33,Fab/Layout,302,0.0
23-011,747062,S1102,1,HSS STRUT,18.88,312.722,39.78,HSSR,6 5/8 x 0.188,E - Exterior Exposed,4,11,Weld,17,0.0
23-011,747062,S1102,3,HSS STRUT,18.88,312.722,39.78,HSSR,6 5/8 x 0.188,E - Exterior Exposed,4,11,Weld,241,0.0
23-011,747062,S1102,4,HSS STRUT,18.88,312.722,39.78,HSSR,6 5/8 x 0.188,E - Exterior Exposed,4,11,Weld,22,0.0
