NumberWithDash,EPM_ProductionControlItemID,EPM_MainMark,EPM_InstanceNumber,Assembly_MainPieceProductionCode,Assembly_MainPartLengthFt,Assembly_WeightEachLbs,Assembly_SurfaceAreaEachSqFt,Assembly_MainPartShape,Assembly_MainPartDimension,Assembly_MainPartFinishDescr,Assembly_TotalQuantityInJob,Assembly_NumSmallParts,EPM_AdjustedStationName,TimeInSeconds_ThisWorkSegment,Assembly_EstTotalHours_ThisLaborGroup
19-048,870038,T124,1,S.S. TUBE STEEL,2.81,39.575,4.43,HSS,4 x 2 x 0.25,N - No Paint,1,2,Fab/Layout,142,0.0
19-048,870040,T125,1,S.S. TUBE STEEL,7.91,112.116,12.5,HSS,4 x 2 x 0.25,N - No Paint,2,2,Fab/Layout,124,0.0
19-048,870040,T125,1,S.S. TUBE STEEL,7.91,112.116,12.5,HSS,4 x 2 x 0.25,N - No Paint,2,2,Weld,47,0.0
19-048,870040,T125,2,S.S. TUBE STEEL,7.91,112.116,12.5,HSS,4 x 2 x 0.25,N - No Paint,2,2,Fab/Layout,124,0.0
19-048,870040,T125,2,S.S. TUBE STEEL,7.91,112.116,12.5,HSS,4 x 2 x 0.25,N - No Paint,2,2,Weld,48,0.0
20-137,649474,P208,16,S.S. PLATE,0.74,5.374,0.73,PL,3/8 x 7 7/8    §,N - No Paint,20,1,Fab/Layout,12,0.0
20-137,649474,P208,17,S.S. PLATE,0.74,5.374,0.73,PL,3/8 x 7 7/8    §,N - No Paint,20,1,Fab/Layout,11,0.0
20-137,649474,P208,18,S.S. PLATE,0.74,5.374,0.73,PL,3/8 x 7 7/8    §,N - No Paint,20,1,Fab/Layout,12,0.0
20-137,649474,P208,19,S.S. PLATE,0.74,5.374,0.73,PL,3/8 x 7 7/8    §,N - No Paint,20,1,Fab/Layout,11,0.0
20-137,649474,P208,20,S.S. PLATE,0.74,5.374,0.73,PL,3/8 x 7 7/8    §,N - No Paint,20,1,Fab/Layout,12,0.0
20-137,866744,R102,1,ALUM PIPE,2.51,17.328,6.7,API,3 1/2SCH40,T - Coal Tar For Aluminum,8,3,Fab/Layout,249,0.0
20-137,866744,R102,2,ALUM PIPE,2.51,17.328,6.7,API,3 1/2SCH40,T - Coal Tar For Aluminum,8,3,Fab/Layout,36,0.0
20-137,866744,R102,3,ALUM PIPE,2.51,17.328,6.7,API,3 1/2SCH40,T - Coal Tar For Aluminum,8,3,Fab/Layout,35,0.0
20-137,866744,R102,4,ALUM PIPE,2.51,17.328,6.7,API,3 1/2SCH40,T - Coal Tar For Aluminum,8,3,Fab/Layout,36,0.0
20-137,866744,R102,5,ALUM PIPE,2.51,17.328,6.7,API,3 1/2SCH40,T - Coal Tar For Aluminum,8,3,Fab/Layout,35,0.0
20-137,866744,R102,6,ALUM PIPE,2.51,17.328,6.7,API,3 1/2SCH40,T - Coal Tar For Aluminum,8,3,Fab/Layout,36,0.0
20-137,866744,R102,7,ALUM PIPE,2.51,17.328,6.7,API,3 1/2SCH40,T - Coal Tar For Aluminum,8,3,Fab/Layout,36,0.0
20-137,866744,R102,8,ALUM PIPE,2.51,17.328,6.7,API,3 1/2SCH40,T - Coal Tar For Aluminum,8,3,Fab/Layout,35,0.0
20-137,911715,P214,1,S.S. BENT PLATE,0.65,5.328,0.72,PL,3/8 x 6,N - No Paint,4,1,Fab/Layout,3,0.0
20-137,911715,P214,2,S.S. BENT PLATE,0.65,5.328,0.72,PL,3/8 x 6,N - No Paint,4,1,Fab/Layout,4,0.0
20-137,911715,P214,3,S.S. BENT PLATE,0.65,5.328,0.72,PL,3/8 x 6,N - No Paint,4,1,Fab/Layout,4,0.0
20-137,911715,P214,4,S.S. BENT PLATE,0.65,5.328,0.72,PL,3/8 x 6,N - No Paint,4,1,Fab/Layout,4,0.0
20-137,911716,P215,1,S.S. PLATE,0.83,6.769,0.73,PL,1/2 x 4 1/2,N - No Paint,8,1,Fab/Layout,8,0.0
20-137,911716,P215,2,S.S. PLATE,0.83,6.769,0.73,PL,1/2 x 4 1/2,N - No Paint,8,1,Fab/Layout,8,0.0
20-137,911716,P215,3,S.S. PLATE,0.83,6.769,0.73,PL,1/2 x 4 1/2,N - No Paint,8,1,Fab/Layout,9,0.0
20-137,911716,P215,4,S.S. PLATE,0.83,6.769,0.73,PL,1/2 x 4 1/2,N - No Paint,8,1,Fab/Layout,8,0.0
20-137,911716,P215,5,S.S. PLATE,0.83,6.769,0.73,PL,1/2 x 4 1/2,N - No Paint,8,1,Fab/Layout,8,0.0
20-137,911716,P215,6,S.S. PLATE,0.83,6.769,0.73,PL,1/2 x 4 1/2,N - No Paint,8,1,Fab/Layout,8,0.0
20-137,911716,P215,7,S.S. PLATE,0.83,6.769,0.73,PL,1/2 x 4 1/2,N - No Paint,8,1,Fab/Layout,8,0.0
20-137,911716,P215,8,S.S. PLATE,0.83,6.769,0.73,PL,1/2 x 4 1/2,N - No Paint,8,1,Fab/Layout,8,0.0
20-137,911717,P216,1,ALUM PLATE,1.31,4.94,2.02,PL,3/8 x 5,N - No Paint,4,2,Fab/Layout,174,0.0
20-137,911717,P216,1,ALUM PLATE,1.31,4.94,2.02,PL,3/8 x 5,N - No Paint,4,2,Material Handling,1,0.0
20-137,911717,P216,1,ALUM PLATE,1.31,4.94,2.02,PL,3/8 x 5,N - No Paint,4,2,Weld,58,0.0
20-137,911717,P216,2,ALUM PLATE,1.31,4.94,2.02,PL,3/8 x 5,N - No Paint,4,2,Fab/Layout,173,0.0
20-137,911717,P216,2,ALUM PLATE,1.31,4.94,2.02,PL,3/8 x 5,N - No Paint,4,2,Material Handling,2,0.0
20-137,911717,P216,2,ALUM PLATE,1.31,4.94,2.02,PL,3/8 x 5,N - No Paint,4,2,Weld,58,0.0
20-137,911717,P216,3,ALUM PLATE,1.31,4.94,2.02,PL,3/8 x 5,N - No Paint,4,2,Fab/Layout,173,0.0
20-137,911717,P216,3,ALUM PLATE,1.31,4.94,2.02,PL,3/8 x 5,N - No Paint,4,2,Material Handling,1,0.0
20-137,911717,P216,3,ALUM PLATE,1.31,4.94,2.02,PL,3/8 x 5,N - No Paint,4,2,Weld,58,0.0
20-137,911717,P216,4,ALUM PLATE,1.31,4.94,2.02,PL,3/8 x 5,N - No Paint,4,2,Fab/Layout,174,0.0
20-137,911717,P216,4,ALUM PLATE,1.31,4.94,2.02,PL,3/8 x 5,N - No Paint,4,2,Material Handling,1,0.0
20-137,911717,P216,4,ALUM PLATE,1.31,4.94,2.02,PL,3/8 x 5,N - No Paint,4,2,Weld,58,0.0
21-016,903316,R102,1,ALUM PIPE SLEEVE,0.67,1.238,0.47,API,2SCH80,T - Coal Tar For Aluminum,5,2,Fab/Layout,292,0.0
21-016,903316,R102,1,ALUM PIPE SLEEVE,0.67,1.238,0.47,API,2SCH80,T - Coal Tar For Aluminum,5,2,Material Handling,6,0.0
21-016,903316,R102,1,ALUM PIPE SLEEVE,0.67,1.238,0.47,API,2SCH80,T - Coal Tar For Aluminum,5,2,Paint,10,0.0
21-016,903316,R102,1,ALUM PIPE SLEEVE,0.67,1.238,0.47,API,2SCH80,T - Coal Tar For Aluminum,5,2,Weld,342,0.0
21-016,903316,R102,2,ALUM PIPE SLEEVE,0.67,1.238,0.47,API,2SCH80,T - Coal Tar For Aluminum,5,2,Fab/Layout,146,0.0
21-016,903316,R102,2,ALUM PIPE SLEEVE,0.67,1.238,0.47,API,2SCH80,T - Coal Tar For Aluminum,5,2,Material Handling,5,0.0
21-016,903316,R102,2,ALUM PIPE SLEEVE,0.67,1.238,0.47,API,2SCH80,T - Coal Tar For Aluminum,5,2,Paint,5,0.0
21-016,903316,R102,2,ALUM PIPE SLEEVE,0.67,1.238,0.47,API,2SCH80,T - Coal Tar For Aluminum,5,2,Weld,171,0.0
21-016,903316,R102,3,ALUM PIPE SLEEVE,0.67,1.238,0.47,API,2SCH80,T - Coal Tar For Aluminum,5,2,Fab/Layout,146,0.0
21-016,903316,R102,3,ALUM PIPE SLEEVE,0.67,1.238,0.47,API,2SCH80,T - Coal Tar For Aluminum,5,2,Material Handling,8,0.0
21-016,903316,R102,3,ALUM PIPE SLEEVE,0.67,1.238,0.47,API,2SCH80,T - Coal Tar For Aluminum,5,2,Paint,5,0.0
21-016,903316,R102,3,ALUM PIPE SLEEVE,0.67,1.238,0.47,API,2SCH80,T - Coal Tar For Aluminum,5,2,Weld,171,0.0
21-016,903326,P222,1,ALUM PLATE,2.67,23.691,9.01,PL,3/8 x 22    §,T - Coal Tar For Aluminum,1,1,Fab/Layout,91,0.0
21-016,903326,P222,1,ALUM PLATE,2.67,23.691,9.01,PL,3/8 x 22    §,T - Coal Tar For Aluminum,1,1,Material Handling,3,0.0
21-016,903326,P222,1,ALUM PLATE,2.67,23.691,9.01,PL,3/8 x 22    §,T - Coal Tar For Aluminum,1,1,Paint,3,0.0
21-016,903327,P223,1,ALUM PLATE,2.67,16.439,6.31,PL,3/8 x 16    §,T - Coal Tar For Aluminum,1,1,Fab/Layout,50,0.0
21-016,903327,P223,1,ALUM PLATE,2.67,16.439,6.31,PL,3/8 x 16    §,T - Coal Tar For Aluminum,1,1,Material Handling,2,0.0
21-016,903327,P223,1,ALUM PLATE,2.67,16.439,6.31,PL,3/8 x 16    §,T - Coal Tar For Aluminum,1,1,Paint,2,0.0
21-120,899420,A236,1,ANGLE,14.0,371.756,38.25,L,6 x 4 x 1/2,G - Galvanized,1,3,Fab/Layout,2327,0.0
21-120,899420,A236,1,ANGLE,14.0,371.756,38.25,L,6 x 4 x 1/2,G - Galvanized,1,3,Material Handling,17,0.0
21-120,899420,A236,1,ANGLE,14.0,371.756,38.25,L,6 x 4 x 1/2,G - Galvanized,1,3,Weld,1730,0.0
22-022,899265,P244,1,EMBED PLATE,10.0,1020.846,101.25,PL,1/2 x 60,N - No Paint,2,1,Fab/Layout,1254,0.0
22-022,899265,P244,1,EMBED PLATE,10.0,1020.846,101.25,PL,1/2 x 60,N - No Paint,2,1,Material Handling,3,0.0
22-022,899265,P244,1,EMBED PLATE,10.0,1020.846,101.25,PL,1/2 x 60,N - No Paint,2,1,Weld,61,0.0
22-022,899265,P244,2,EMBED PLATE,10.0,1020.846,101.25,PL,1/2 x 60,N - No Paint,2,1,Fab/Layout,2331,0.0
22-022,899265,P244,2,EMBED PLATE,10.0,1020.846,101.25,PL,1/2 x 60,N - No Paint,2,1,Material Handling,3,0.0
22-022,899265,P244,2,EMBED PLATE,10.0,1020.846,101.25,PL,1/2 x 60,N - No Paint,2,1,Weld,1313,0.0
22-022,899267,P245,1,EMBED PLATE,12.0,449.172,45.15,PL,1/2 x 22,N - No Paint,6,1,Fab/Layout,729,0.0
22-022,899267,P245,1,EMBED PLATE,12.0,449.172,45.15,PL,1/2 x 22,N - No Paint,6,1,Material Handling,16,0.0
22-022,899267,P245,1,EMBED PLATE,12.0,449.172,45.15,PL,1/2 x 22,N - No Paint,6,1,Weld,391,0.0
22-022,899267,P245,2,EMBED PLATE,12.0,449.172,45.15,PL,1/2 x 22,N - No Paint,6,1,Fab/Layout,393,0.0
22-022,899267,P245,2,EMBED PLATE,12.0,449.172,45.15,PL,1/2 x 22,N - No Paint,6,1,Material Handling,17,0.0
22-022,899267,P245,2,EMBED PLATE,12.0,449.172,45.15,PL,1/2 x 22,N - No Paint,6,1,Weld,678,0.0
22-022,899267,P245,3,EMBED PLATE,12.0,449.172,45.15,PL,1/2 x 22,N - No Paint,6,1,Fab/Layout,629,0.0
22-022,899267,P245,3,EMBED PLATE,12.0,449.172,45.15,PL,1/2 x 22,N - No Paint,6,1,Material Handling,1,0.0
22-022,899267,P245,3,EMBED PLATE,12.0,449.172,45.15,PL,1/2 x 22,N - No Paint,6,1,Weld,300,0.0
22-022,899267,P245,4,EMBED PLATE,12.0,449.172,45.15,PL,1/2 x 22,N - No Paint,6,1,Fab/Layout,629,0.0
22-022,899267,P245,4,EMBED PLATE,12.0,449.172,45.15,PL,1/2 x 22,N - No Paint,6,1,Material Handling,1,0.0
22-022,899267,P245,4,EMBED PLATE,12.0,449.172,45.15,PL,1/2 x 22,N - No Paint,6,1,Weld,300,0.0
22-022,899267,P245,5,EMBED PLATE,12.0,449.172,45.15,PL,1/2 x 22,N - No Paint,6,1,Fab/Layout,161,0.0
22-022,899267,P245,5,EMBED PLATE,12.0,449.172,45.15,PL,1/2 x 22,N - No Paint,6,1,Material Handling,0,0.0
22-022,899267,P245,5,EMBED PLATE,12.0,449.172,45.15,PL,1/2 x 22,N - No Paint,6,1,Weld,938,0.0
22-022,899267,P245,6,EMBED PLATE,12.0,449.172,45.15,PL,1/2 x 22,N - No Paint,6,1,Fab/Layout,701,0.0
22-022,899267,P245,6,EMBED PLATE,12.0,449.172,45.15,PL,1/2 x 22,N - No Paint,6,1,Material Handling,1,0.0
22-022,899267,P245,6,EMBED PLATE,12.0,449.172,45.15,PL,1/2 x 22,N - No Paint,6,1,Weld,85,0.0
22-022,899269,P246,1,EMBED PLATE,5.0,187.155,18.9,PL,1/2 x 22,N - No Paint,2,1,Fab/Layout,291,0.0
22-022,899269,P246,1,EMBED PLATE,5.0,187.155,18.9,PL,1/2 x 22,N - No Paint,2,1,Material Handling,3,0.0
22-022,899269,P246,1,EMBED PLATE,5.0,187.155,18.9,PL,1/2 x 22,N - No Paint,2,1,Weld,170,0.0
22-022,899269,P246,2,EMBED PLATE,5.0,187.155,18.9,PL,1/2 x 22,N - No Paint,2,1,Fab/Layout,289,0.0
22-022,899269,P246,2,EMBED PLATE,5.0,187.155,18.9,PL,1/2 x 22,N - No Paint,2,1,Material Handling,3,0.0
22-022,899269,P246,2,EMBED PLATE,5.0,187.155,18.9,PL,1/2 x 22,N - No Paint,2,1,Weld,168,0.0
22-022,899271,P247,1,EMBED PLATE,12.0,245.003,25.08,PL,1/2 x 12,N - No Paint,6,1,Fab/Layout,810,0.0
22-022,899271,P247,1,EMBED PLATE,12.0,245.003,25.08,PL,1/2 x 12,N - No Paint,6,1,Material Handling,1,0.0
22-022,899271,P247,1,EMBED PLATE,12.0,245.003,25.08,PL,1/2 x 12,N - No Paint,6,1,Weld,319,0.0
22-022,899271,P247,2,EMBED PLATE,12.0,245.003,25.08,PL,1/2 x 12,N - No Paint,6,1,Fab/Layout,373,0.0
22-022,899271,P247,2,EMBED PLATE,12.0,245.003,25.08,PL,1/2 x 12,N - No Paint,6,1,Material Handling,2,0.0
22-022,899271,P247,2,EMBED PLATE,12.0,245.003,25.08,PL,1/2 x 12,N - No Paint,6,1,Weld,298,0.0
22-022,899271,P247,3,EMBED PLATE,12.0,245.003,25.08,PL,1/2 x 12,N - No Paint,6,1,Fab/Layout,540,0.0
22-022,899271,P247,3,EMBED PLATE,12.0,245.003,25.08,PL,1/2 x 12,N - No Paint,6,1,Material Handling,2,0.0
22-022,899271,P247,3,EMBED PLATE,12.0,245.003,25.08,PL,1/2 x 12,N - No Paint,6,1,Weld,319,0.0
22-022,899271,P247,4,EMBED PLATE,12.0,245.003,25.08,PL,1/2 x 12,N - No Paint,6,1,Fab/Layout,411,0.0
22-022,899271,P247,4,EMBED PLATE,12.0,245.003,25.08,PL,1/2 x 12,N - No Paint,6,1,Material Handling,4,0.0
22-022,899271,P247,4,EMBED PLATE,12.0,245.003,25.08,PL,1/2 x 12,N - No Paint,6,1,Weld,871,0.0
22-022,899271,P247,5,EMBED PLATE,12.0,245.003,25.08,PL,1/2 x 12,N - No Paint,6,1,Fab/Layout,371,0.0
22-022,899271,P247,5,EMBED PLATE,12.0,245.003,25.08,PL,1/2 x 12,N - No Paint,6,1,Material Handling,1,0.0
22-022,899271,P247,5,EMBED PLATE,12.0,245.003,25.08,PL,1/2 x 12,N - No Paint,6,1,Weld,280,0.0
22-022,899271,P247,6,EMBED PLATE,12.0,245.003,25.08,PL,1/2 x 12,N - No Paint,6,1,Fab/Layout,375,0.0
22-022,899271,P247,6,EMBED PLATE,12.0,245.003,25.08,PL,1/2 x 12,N - No Paint,6,1,Material Handling,4,0.0
22-022,899271,P247,6,EMBED PLATE,12.0,245.003,25.08,PL,1/2 x 12,N - No Paint,6,1,Weld,873,0.0
22-022,899273,P248,1,EMBED PLATE,5.0,102.085,10.5,PL,1/2 x 12,N - No Paint,2,1,Fab/Layout,225,0.0
22-022,899273,P248,1,EMBED PLATE,5.0,102.085,10.5,PL,1/2 x 12,N - No Paint,2,1,Material Handling,3,0.0
22-022,899273,P248,1,EMBED PLATE,5.0,102.085,10.5,PL,1/2 x 12,N - No Paint,2,1,Weld,140,0.0
22-022,899273,P248,2,EMBED PLATE,5.0,102.085,10.5,PL,1/2 x 12,N - No Paint,2,1,Fab/Layout,275,0.0
22-022,899273,P248,2,EMBED PLATE,5.0,102.085,10.5,PL,1/2 x 12,N - No Paint,2,1,Material Handling,3,0.0
22-022,899273,P248,2,EMBED PLATE,5.0,102.085,10.5,PL,1/2 x 12,N - No Paint,2,1,Weld,139,0.0
22-050,896867,A488,1,ANGLE,0.93,8.091,0.93,L,3 x 3 x 3/8,"D - Steel, Paint All",3,1,Fab/Layout,72,0.0
22-050,896867,A488,2,ANGLE,0.93,8.091,0.93,L,3 x 3 x 3/8,"D - Steel, Paint All",3,1,Fab/Layout,16,0.0
22-050,896867,A488,3,ANGLE,0.93,8.091,0.93,L,3 x 3 x 3/8,"D - Steel, Paint All",3,1,Fab/Layout,10,0.0
22-050,896872,B158,1,BEAM,49.81,2554.167,275.79,W,18 x 50,"D - Steel, Paint All",1,4,Fab/Layout,389,0.0
22-050,896872,B158,1,BEAM,49.81,2554.167,275.79,W,18 x 50,"D - Steel, Paint All",1,4,Material Handling,6,0.0
22-050,896872,B158,1,BEAM,49.81,2554.167,275.79,W,18 x 50,"D - Steel, Paint All",1,4,Peddi Assembler,2233,0.0
22-050,896872,B158,1,BEAM,49.81,2554.167,275.79,W,18 x 50,"D - Steel, Paint All",1,4,Weld,976,0.0
22-050,896874,B160,1,BEAM,26.99,1413.542,151.67,W,18 x 50,"D - Steel, Paint All",1,4,Fab/Layout,3690,0.0
22-050,896874,B160,1,BEAM,26.99,1413.542,151.67,W,18 x 50,"D - Steel, Paint All",1,4,Material Handling,2,0.0
22-050,896874,B160,1,BEAM,26.99,1413.542,151.67,W,18 x 50,"D - Steel, Paint All",1,4,Weld,116,0.0
22-050,896876,B173,1,BEAM,26.99,1413.542,151.67,W,18 x 50,"D - Steel, Paint All",1,4,Fab/Layout,376,0.0
22-050,896876,B173,1,BEAM,26.99,1413.542,151.67,W,18 x 50,"D - Steel, Paint All",1,4,Material Handling,6,0.0
22-050,896876,B173,1,BEAM,26.99,1413.542,151.67,W,18 x 50,"D - Steel, Paint All",1,4,Peddi Assembler,1150,0.0
22-050,896876,B173,1,BEAM,26.99,1413.542,151.67,W,18 x 50,"D - Steel, Paint All",1,4,Weld,925,0.0
22-050,896878,B248,1,BEAM,50.39,2583.073,278.93,W,18 x 50,"D - Steel, Paint All",1,4,Fab/Layout,631,0.0
22-050,896878,B248,1,BEAM,50.39,2583.073,278.93,W,18 x 50,"D - Steel, Paint All",1,4,Material Handling,5,0.0
22-050,896878,B248,1,BEAM,50.39,2583.073,278.93,W,18 x 50,"D - Steel, Paint All",1,4,Peddi Assembler,1610,0.0
22-050,896878,B248,1,BEAM,50.39,2583.073,278.93,W,18 x 50,"D - Steel, Paint All",1,4,Weld,341,0.0
22-054,899514,P304,1,PLATE,0.94,2.393,0.38,PL,3/8 x 2,G - Galvanized,6,1,Fab/Layout,102,0.0
22-054,899514,P304,2,PLATE,0.94,2.393,0.38,PL,3/8 x 2,G - Galvanized,6,1,Fab/Layout,20,0.0
22-054,899514,P304,3,PLATE,0.94,2.393,0.38,PL,3/8 x 2,G - Galvanized,6,1,Fab/Layout,20,0.0
22-054,899514,P304,4,PLATE,0.94,2.393,0.38,PL,3/8 x 2,G - Galvanized,6,1,Fab/Layout,21,0.0
22-054,899514,P304,5,PLATE,0.94,2.393,0.38,PL,3/8 x 2,G - Galvanized,6,1,Fab/Layout,20,0.0
22-054,899514,P304,6,PLATE,0.94,2.393,0.38,PL,3/8 x 2,G - Galvanized,6,1,Fab/Layout,21,0.0
22-054,899515,R101,1,PIPE,8.39,45.582,5.75,PI,2SCH80,G - Galvanized,2,3,Fab/Layout,777,0.0
22-054,899515,R101,1,PIPE,8.39,45.582,5.75,PI,2SCH80,G - Galvanized,2,3,Material Handling,33,0.0
22-054,899515,R101,1,PIPE,8.39,45.582,5.75,PI,2SCH80,G - Galvanized,2,3,Weld,427,0.0
22-054,899515,R101,2,PIPE,8.39,45.582,5.75,PI,2SCH80,G - Galvanized,2,3,Fab/Layout,672,0.0
22-054,899515,R101,2,PIPE,8.39,45.582,5.75,PI,2SCH80,G - Galvanized,2,3,Material Handling,6,0.0
22-054,899515,R101,2,PIPE,8.39,45.582,5.75,PI,2SCH80,G - Galvanized,2,3,Weld,426,0.0
22-081,899519,A157,1,ANGLE,5.91,50.707,8.36,L,4 x 4 x 5/16,G - Galvanized,1,2,Fab/Layout,1066,0.0
22-081,899519,A157,1,ANGLE,5.91,50.707,8.36,L,4 x 4 x 5/16,G - Galvanized,1,2,Material Handling,5,0.0
22-081,899519,A157,1,ANGLE,5.91,50.707,8.36,L,4 x 4 x 5/16,G - Galvanized,1,2,Weld,434,0.0
22-081,899521,A158,1,ANGLE,3.42,10.899,2.28,L,2 x 2 x 1/4,G - Galvanized,1,1,Fab/Layout,183,0.0
22-081,899522,A159,1,ANGLE,10.68,34.077,7.12,L,2 x 2 x 1/4,G - Galvanized,1,1,Fab/Layout,326,0.0
22-081,899523,A160,1,ANGLE,5.76,124.092,21.45,L,4 x 4 x 5/16,G - Galvanized,1,5,Fab/Layout,5222,0.0
22-081,899523,A160,1,ANGLE,5.76,124.092,21.45,L,4 x 4 x 5/16,G - Galvanized,1,5,Material Handling,1,0.0
22-081,899523,A160,1,ANGLE,5.76,124.092,21.45,L,4 x 4 x 5/16,G - Galvanized,1,5,Weld,1654,0.0
22-081,899527,A161,1,ANGLE,2.79,8.905,1.86,L,2 x 2 x 1/4,G - Galvanized,2,1,Fab/Layout,51,0.0
22-081,899527,A161,2,ANGLE,2.79,8.905,1.86,L,2 x 2 x 1/4,G - Galvanized,2,1,Fab/Layout,50,0.0
22-081,899528,A162,1,ANGLE,2.79,8.905,1.86,L,2 x 2 x 1/4,G - Galvanized,1,1,Fab/Layout,271,0.0
22-081,899529,A164,1,ANGLE,3.42,16.742,3.42,L,3 x 3 x 1/4,G - Galvanized,1,1,Fab/Layout,97,0.0
22-081,899530,A165,1,ANGLE,3.51,11.182,2.34,L,2 x 2 x 1/4,G - Galvanized,1,1,Fab/Layout,190,0.0
22-081,899531,A166,1,ANGLE,0.83,2.658,0.56,L,2 x 2 x 1/4,G - Galvanized,1,1,Fab/Layout,163,0.0
22-081,899532,A169,1,ANGLE,5.08,16.216,3.39,L,2 x 2 x 1/4,G - Galvanized,1,1,Fab/Layout,141,0.0
22-081,899533,A172,1,ANGLE,4.88,23.913,4.88,L,3 x 3 x 1/4,G - Galvanized,2,1,Fab/Layout,126,0.0
22-081,899533,A172,2,ANGLE,4.88,23.913,4.88,L,3 x 3 x 1/4,G - Galvanized,2,1,Fab/Layout,154,0.0
22-081,899534,A177,1,ANGLE,9.7,30.936,6.47,L,2 x 2 x 1/4,G - Galvanized,1,1,Fab/Layout,353,0.0
22-081,899535,A178,1,ANGLE,4.58,14.621,3.06,L,2 x 2 x 1/4,G - Galvanized,1,1,Fab/Layout,209,0.0
22-081,899536,A182,1,ANGLE,5.94,50.963,8.4,L,4 x 4 x 5/16,G - Galvanized,1,2,Fab/Layout,398,0.0
22-081,899536,A182,1,ANGLE,5.94,50.963,8.4,L,4 x 4 x 5/16,G - Galvanized,1,2,Material Handling,4,0.0
22-081,899536,A182,1,ANGLE,5.94,50.963,8.4,L,4 x 4 x 5/16,G - Galvanized,1,2,Weld,323,0.0
22-081,899538,A183,1,ANGLE,3.75,11.963,2.5,L,2 x 2 x 1/4,G - Galvanized,1,1,Fab/Layout,179,0.0
22-081,899539,A184,1,ANGLE,5.76,124.092,21.45,L,4 x 4 x 5/16,G - Galvanized,1,5,Fab/Layout,4431,0.0
22-081,899539,A184,1,ANGLE,5.76,124.092,21.45,L,4 x 4 x 5/16,G - Galvanized,1,5,Material Handling,1,0.0
22-081,899539,A184,1,ANGLE,5.76,124.092,21.45,L,4 x 4 x 5/16,G - Galvanized,1,5,Weld,1520,0.0
22-081,899543,A185,1,ANGLE,0.65,2.06,0.43,L,2 x 2 x 1/4,G - Galvanized,1,1,Fab/Layout,280,0.0
22-081,899544,A186,1,ANGLE,1.39,4.436,0.93,L,2 x 2 x 1/4,G - Galvanized,1,1,Fab/Layout,156,0.0
22-081,899545,A187,1,ANGLE,2.79,8.905,1.86,L,2 x 2 x 1/4,G - Galvanized,1,1,Fab/Layout,197,0.0
22-081,899546,A188,1,ANGLE,3.33,16.308,3.33,L,3 x 3 x 1/4,G - Galvanized,1,1,Fab/Layout,115,0.0
22-081,899547,A191,1,ANGLE,1.21,3.855,0.81,L,2 x 2 x 1/4,G - Galvanized,1,1,Fab/Layout,612,0.0
22-081,899548,A192,1,ANGLE,3.08,9.836,2.06,L,2 x 2 x 1/4,G - Galvanized,1,1,Fab/Layout,203,0.0
22-081,899549,A199,1,ANGLE,4.4,14.039,2.93,L,2 x 2 x 1/4,G - Galvanized,1,1,Fab/Layout,168,0.0
22-081,899550,A202,1,ANGLE,5.76,49.426,8.15,L,4 x 4 x 5/16,G - Galvanized,1,2,Fab/Layout,330,0.0
22-081,899550,A202,1,ANGLE,5.76,49.426,8.15,L,4 x 4 x 5/16,G - Galvanized,1,2,Material Handling,1,0.0
22-081,899550,A202,1,ANGLE,5.76,49.426,8.15,L,4 x 4 x 5/16,G - Galvanized,1,2,Weld,799,0.0
22-081,899552,A261,1,ANGLE,4.13,20.213,4.13,L,3 x 3 x 1/4,G - Galvanized,1,1,Fab/Layout,103,0.0
22-081,899553,A262,1,ANGLE,4.36,21.386,4.36,L,3 x 3 x 1/4,G - Galvanized,1,1,Fab/Layout,196,0.0
22-081,899554,A263,1,ANGLE,5.94,50.963,8.4,L,4 x 4 x 5/16,G - Galvanized,1,2,Fab/Layout,371,0.0
22-081,899554,A263,1,ANGLE,5.94,50.963,8.4,L,4 x 4 x 5/16,G - Galvanized,1,2,Material Handling,5,0.0
22-081,899554,A263,1,ANGLE,5.94,50.963,8.4,L,4 x 4 x 5/16,G - Galvanized,1,2,Weld,187,0.0
22-081,899556,A264,1,ANGLE,1.27,4.054,0.85,L,2 x 2 x 1/4,G - Galvanized,1,1,Fab/Layout,194,0.0
22-081,899557,A265,1,ANGLE,5.91,50.707,8.36,L,4 x 4 x 5/16,G - Galvanized,1,2,Fab/Layout,916,0.0
22-081,899557,A265,1,ANGLE,5.91,50.707,8.36,L,4 x 4 x 5/16,G - Galvanized,1,2,Material Handling,1,0.0
22-081,899557,A265,1,ANGLE,5.91,50.707,8.36,L,4 x 4 x 5/16,G - Galvanized,1,2,Weld,696,0.0
22-081,899559,A268,1,ANGLE,2.67,8.507,1.78,L,2 x 2 x 1/4,G - Galvanized,1,1,Fab/Layout,1101,0.0
22-081,899560,A269,1,ANGLE,4.75,15.153,3.17,L,2 x 2 x 1/4,G - Galvanized,1,1,Fab/Layout,194,0.0
22-081,899561,A270,1,ANGLE,8.41,26.833,5.61,L,2 x 2 x 1/4,G - Galvanized,1,1,Fab/Layout,786,0.0
22-081,899562,A271,1,ANGLE,5.76,51.021,8.51,L,4 x 4 x 5/16,G - Galvanized,1,4,Fab/Layout,787,0.0
22-081,899562,A271,1,ANGLE,5.76,51.021,8.51,L,4 x 4 x 5/16,G - Galvanized,1,4,Material Handling,1,0.0
